Number,Results Count,Execution Time (s)
1,1,0.000000
2,1,0.000000
3,1,0.000000
4,1,0.000000
5,2,0.000000
6,1,0.000000
7,2,0.000000
8,1,0.000000
9,3,0.000000
10,3,0.000000
11,4,0.000000
12,2,0.000000
13,7,0.000000
14,8,0.000000
15,12,0.001003
16,13,0.000000
17,16,0.000000
18,25,0.000000
19,28,0.000000
20,55,0.000669
21,51,0.000000
22,91,0.000000
23,90,0.001008
24,158,0.001019
25,176,0.000000
26,288,0.001343
27,297,0.001006
28,487,0.003259
29,521,0.004006
30,847,0.005000
31,908,0.007145
32,1355,0.009002
33,1580,0.010998
34,2175,0.014192
35,2744,0.020175
36,3636,0.031024
37,4452,0.040557
38,5678,0.049518
39,7385,0.060357
40,9398,0.078902
41,11966,0.109216
42,14508,0.146605
43,19322,0.188691
44,23065,0.266011
45,31301,0.334157
46,36177,0.461776
47,49080,0.554978
48,57348,0.689859
49,77446,0.883673
50,91021,1.164142
